HRR,HRR.Name,Provider.ID,Hospital.Name,City,State,System,Number.of.deaths.among.chronically.ill.patients.assigned.to.hospital,Percent.of.enrollees.medical.inpatient.days.at.hospital.to.which.they.were.assigned,Hospital.Care.Intensity.Index.during.the.Last.Two.Years.of.Life,Total.Medicare.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,Inpatient.Sector.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,Outpatient.Sector.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,SNF.Long.Term.Care.Sector.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,Home.Health.Sector.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,Hospice.Sector.Reimbursements.per.Decedent.during.the.Last.Two.Years.of.Life,Ambulance.spending.per.Decedent.during.the.last.two.years.of.life,Reimbursements.for.Durable.Medical.Equipment.per.Decedent.during.the.Last.Two.Years.of.Life,Other.spending.per.Decedent.during.the.last.two.years.of.life,Part.B.Spending.per.Decedent.during.the.Last.Two.Years.of.Life,Part.B.Spending.for.Evaluation...Management.per.Decedent.during.the.Last.Two.Years.of.Life,Part.B.Spending.for.Procedures.per.Decedent.during.the.Last.Two.Years.of.Life,Part.B.Spending.for.Imaging.per.Decedent.during.the.Last.Two.Years.of.Life,Part.B.Spending.for.Tests.per.Decedent.during.the.Last.Two.Years.of.Life,Other.Part.B.spending.per.Decedent.during.the.last.two.years.of.life,Hospital.reimbursements.per.Decedent.during.the.last.two.years.of.life,Inpatient.Days.per.Decedent.during.the.Last.Two.Years.of.Life,Reimbursements.per.patient.day..calculated.,Hospital.Reimbursements..Ratio.to.US.Average..calculated.,Hospital.Days..Ratio.to.US.Average..calculated.,Reimbursements.per.Day..Ratio.to.US.Average..calculated.,Payments.for.physician.visits.per.Decedent.during.the.last.two.years.of.life,Physician.Visits.per.Decedent.during.the.Last.Two.Years.of.Life,Payments.per.physician.visit..calculated.,Physician.visit.payments..Ratio.to.US.Average..calculated.,Physician.visits..Ratio.to.US.Average..calculated.,Payments.per.visit..Ratio.to.US.Average..calculated.,Hospital.Bed.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,Total.ICU.Bed.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,High.Intensity.ICU.Bed.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,Intermediate.Intensity.ICU.Bed.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,Medical...Surgical.Unit.Bed.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,SNF.Bed.Inputs.per.1.000.Dededents.during.the.Last.Two.Years.of.Life,FTE.Physician.Labor.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,FTE.Medical.Specialist.Labor.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,FTE.Primary.Care.Physician.Labor.Inputs.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,Standardized.FTE.physician.labor..Ratio.MS.PC..calculated.,RNs.Required.Under.Proposed.Federal.Standards.per.1.000.Decedents.during.the.Last.Two.Years.of.Life,Inpatient.Days.per.Decedent.during.the.Last.Six.Months.of.Life,Total.ICU.Days.per.Decedent.during.the.Last.Six.Months.of.Life,High.Intensity.ICU.Days.per.Decedent.during.the.Last.Six.Months.of.Life,Intermediate.Intensity.ICU.Days.per.Decedent.during.the.Last.Six.Months.of.Life,Medical...Surgical.Unit.Days.per.Decedent.during.the.Last.Six.Months.of.Life,SNF.Days.per.Decedent.during.the.Last.Six.Months.of.Life,Physician.Visits.per.Decedent.during.the.Last.Six.Months.of.Life,Medical.Specialist.Visits.per.Decedent.during.the.Last.Six.Months.of.Life,Primary.Care.Visits.per.Decedent.during.the.Last.Six.Months.of.Life,Physician.visits.per.decedent.last.6.months..Ratio.MS.PC..calculated.,Home.Health.Agency.Visits.per.Decedent.during.the.Last.Six.Months.of.Life,Percent.of.Deaths.Occurring.In.Hospital,Percent.of.Deaths.Associated.With.ICU.Admission,Percent.of.Decedents.Enrolled.In.Hospice.during.the.Last.Six.Months.of.Life,Hospice.Days.per.Decedent.during.the.Last.Six.Months.of.Life,Percent.of.Decedents.Seeing.10.or.More.Different.Physicians.during.the.Last.Six.Months.of.Life,Number.of.Different.Physicians.Seen.per.Decedent.during.the.Last.Six.Months.of.Life,Average.Co.Payments.per.Decedent.during.the.Last.Two.Years.of.Life,Average.Co.Payments.for.Physician.Services.per.Decedent.during.the.Last.Two.Years.of.Life,Average.Co.Payments.for.Durable.Medical.Equipment.per.Decedent.during.the.Last.Two.Years.of.Life,hospital_name.x,city.x,hospital_name.y,city.y,longitude,latitude,address,website,tele
233,MI- DEARBORN,230176,Beaumont Hospital - Trenton,Trenton,MI,Beaumont Health,265,84.9,1.3,86434,43822,14497,16138,4750,4333,1683,541,671,16633,8752,2492,1198,859,3332,37645,21.1,1782,1,1.2,0.9,8757,82.1,107,1.2,1.2,1,57.9,31.9,6.9,25,26,65.6,38.8,16.8,16.2,1,54.8,13.1,8,2,6,5.1,12.4,43.5,20.2,18.6,1.1,9.9,14.7,13.5,68.7,19.9,75.6,16.1,4934,4762,172,beaumont hospital  trenton,trenton,beaumont hospital trenton,trenton,-83.213478131,42.1169899670001,5450 FORT STREET,https://www.oakwood.org/beaumont-hospital-trenton,NOT AVAILABLE
245,MI- ROYAL OAK,230269,Beaumont Hospital - Troy,Troy,MI,Beaumont Health,1025,89.4,1.6,97168,46292,20288,14713,6147,6631,1452,855,789,22140,10758,3446,1295,938,5703,38523,23.9,1613,1,1.3,0.8,10761,104.6,103,1.5,1.6,1,65.4,28.6,8.2,20.4,36.9,61.3,44.5,23.3,14,1.7,60.3,14.5,6.6,2.1,4.4,7.9,10.2,55.8,30.6,15.8,1.9,9.6,20.7,16.4,65,24.3,78.9,21.3,6283,6025,257,beaumont hospital  troy,troy,beaumont hospital troy,troy,-83.093589961,42.6189979750001,44201 DEQUINDRE ROAD,http://www.beaumont.edu/troy-hospital-campus,NOT AVAILABLE
232,MI- ANN ARBOR,230142,Beaumont Hospital - Wayne,Wayne,MI,Beaumont Health,154,81.8,1.2,85992,41227,13774,17968,5276,4525,1780,649,794,15992,9607,1986,897,878,2623,34934,19.1,1828,0.9,1.1,0.9,9609,78.8,122,1.3,1.2,1.1,52.4,26.5,6.8,19.7,25.9,74.6,38.8,14.5,17.9,0.8,49.3,12.1,6.4,1.9,4.5,5.7,12.1,39.8,17.3,18.9,0.9,7.2,19.5,16.8,59.1,22.3,62.6,16.9,4703,4489,214,beaumont hospital  wayne,wayne,beaumont hospital wayne,wayne,-83.364405135,42.2730327850001,33155 ANNAPOLIS AVE,https://www.oakwood.org/beaumont-hospital-wayne,NOT AVAILABLE
232,MI- ANN ARBOR,230151,Beaumont Hospital -Farmington Hills,Farmington Hills,MI,Beaumont Health,349,80.6,1.5,105594,53863,16757,18616,6232,6094,2040,903,1073,20783,10655,2611,1128,1048,5342,46886,23.1,2026,1.2,1.3,1,10660,93.5,114,1.5,1.4,1.1,63.4,30.3,8.3,21.9,33.1,67.8,43.8,18.7,17.5,1.1,59.3,14.2,7.1,2,5,7.1,11,49.5,23.4,20.1,1.2,9.4,25.5,17.5,59.4,21.6,75.4,19.9,5958,5679,279,beaumont hospital farmington hills,farmington hills,beaumont hospital farmington hills,farmington hills,-83.32365014,42.446340031,28050 GRAND RIVER AVENUE,http://www.botsford.org,NOT AVAILABLE
234,MI- DETROIT,230089,Beaumont Hospital Grosse Pointe,Grosse Pointe,MI,Beaumont Health,252,82.3,1.5,92268,48431,14961,12447,6726,6521,1746,810,625,18865,10466,2823,957,832,3788,40540,21.3,1903,1.1,1.2,0.9,10475,103.8,101,1.5,1.6,0.9,58.3,24.4,5.9,18.5,34,57.1,44.3,22.4,15,1.5,52.8,11.9,5.4,1.6,3.8,6.4,10,52.3,28.4,17.2,1.7,11.3,18.6,15.3,62.3,27.8,75.5,19.3,5478,5221,257,beaumont hospital grosse pointe,grosse pointe,beaumont hospital grosse pointe,grosse pointe,-82.9144041389999,42.3843961250001,468 CADIEUX RD,http://www.beaumont.edu/grosse-pointe-hospital-campus,NOT AVAILABLE
214,LA- LAKE CHARLES,190050,Beauregard Memorial Hospital,Deridder,LA,,80,81.3,1,98536,36454,15286,32143,6004,3937,2632,1897,184,13831,6952,1762,1150,473,3494,32399,18,1795,0.9,1,0.9,7343,68.8,107,1,1,1,49.4,11.2,9.9,1.3,38.2,127.3,29.2,8.7,15,0.6,44.9,10.1,3.1,2.8,0.3,7,21.1,28.9,8.9,15.6,0.6,13.3,-99999,-99999,72,22.2,59.1,11.8,4411,3813,598,beauregard memorial hospital,deridder,beauregard memorial hospital,deridder,-93.28842796,30.841564679,600 S PINE ST,http://www.beauregard.org,(337) 462-7100
449,WI- MADISON,520076,Beaver Dam Community Hospitals,Beaver Dam,WI,Marshfield Clinic Health System,80,89.4,0.5,68935,27926,15552,9589,3722,9257,1679,699,510,11551,4030,1315,723,733,4752,25763,10.5,2455,0.7,0.6,1.2,4030,28.7,140,0.6,0.4,1.3,28.7,3.8,2.7,1.1,24.9,51.6,15.2,5.4,6.3,0.9,23.9,6.3,0.8,0.6,0.3,5.5,9.6,13,5,6.1,0.8,8,-99999,-99999,61.8,36.4,34.4,8.9,2771,2569,202,beaver dam community hospitals,beaver dam,beaver dam com hsptl,beaver dam,-88.826118111,43.4484329490001,707 S UNIVERSITY AVE,http://www.bdch.com,(920) 887-7181
443,WV- CHARLESTON,510062,Beckley Arh Hospital,Beckley,WV,"Appalachian Regional Healthcare, Inc.",109,76.8,1.5,92558,45629,18634,13919,4961,2785,4610,1397,622,23265,7951,2664,1237,944,10469,39136,25,1568,1,1.4,0.8,8468,95.5,89,1.2,1.4,0.8,68.4,18.5,12.8,5.7,49.9,73.5,40.1,17.4,14.7,1.2,62.3,14.8,4.6,3.6,1,10.2,12,47.1,25.5,16,1.6,9.7,17,12.3,50.9,13.2,68.4,14.3,7446,6980,466,beckley arh hospital,beckley,beckley arh hospital,beckley,-81.168183745,37.798832695,306 STANAFORD ROAD,http://www.arh.org/locations/beckley.aspx,(304) 255-3456
428,VA- LYNCHBURG,490088,Bedford Memorial Hospital,Bedford,VA,"Centra Health, Inc.",107,82.4,0.6,71258,27224,14219,10513,5050,11153,1302,1039,757,11286,5225,1469,792,553,3246,24503,13.2,1851,0.7,0.7,0.9,5229,41.9,125,0.7,0.6,1.2,36.3,14.9,3.5,11.4,21.3,63.2,15.5,6.1,5.6,1.1,32.7,7.1,3,0.7,2.3,4.1,8.6,16.3,4.5,4.1,1.1,9.7,19.1,13.3,58.9,37.4,55.5,11.1,3117,2796,321,bedford memorial hospital,bedford,bedford memorial hospital,bedford,-79.517518493,37.3514028980001,1613 OAKWOOD STREET,www.bmhva.com,(540) 586-2440
225,MD- SALISBURY,80007,Beebe Healthcare,Lewes,DE,,531,92.1,1,91172,40055,20198,13077,4114,9431,1775,1867,655,14852,6955,2848,1008,759,3282,35810,19.3,1853,1,1.1,0.9,6959,65.4,106,1,1,1,52.9,29.5,5.2,24.3,23.4,61.7,30.5,12.4,12.2,1,49.7,11.4,6.6,1.4,5.2,4.8,10.5,30.3,12.6,14.1,0.9,7.4,23.5,19.9,70.1,38.1,73.9,16.4,4826,4304,523,beebe healthcare,lewes,beebe medical center,lewes,-75.143267673,38.7717604650001,424 SAVANNAH RD,http://www.beebemed.org/index.cfm,(302) 645-3300
447,WI- GREEN BAY,520049,Bellin Memorial Hospital,Green Bay,WI,,139,91,0.5,61522,25159,16925,8847,2132,5947,1245,953,313,8373,3476,1864,633,554,1846,22821,10.2,2244,0.6,0.6,1.1,4014,33.9,119,0.6,0.5,1.1,27.9,4.4,4.1,0.3,23.5,55.3,18.5,7.9,6,1.3,24.1,6.6,1.3,1.2,0.1,5.3,10.9,16.1,6.4,5.9,1.1,4.4,17.1,10.9,68.2,30,53.5,11.1,2945,2636,309,bellin memorial hospital,green bay,bellin memorial hsptl,green bay,-88.011285591,44.50224209,744 S WEBSTER AVE,http://www.bellin.org,(920) 433-3500
449,WI- MADISON,520100,Beloit Health System,Beloit,WI,,129,93.2,0.8,76677,37550,16605,10805,1979,6566,1345,638,1190,9341,4594,2256,701,335,1455,33962,16.1,2113,0.9,0.9,1,4600,52.4,88,0.6,0.8,0.8,44,21.9,7.6,14.3,22.1,62.8,26,12.1,8.5,1.4,42.3,9.7,5.3,2.2,3.1,4.4,13.4,26.2,12.3,9.3,1.3,4,19.3,16.4,75.5,33,61.1,12,2972,2759,212,beloit health system,beloit,beloit health system,beloit,-89.008431523,42.5482977120001,1969 W HART RD,http://www.beloithealthsystem.org,(608) 364-5011
275,MT- GREAT FALLS,270012,Benefis Hospitals,Great Falls,MT,Benefis Health System,336,91.8,0.7,68397,33843,16153,9359,2792,3936,820,1038,457,9313,4615,1865,557,549,1728,30751,15.2,2018,0.8,0.8,1,4897,45.9,107,0.7,0.7,1,41.7,14.8,14.2,0.6,27,56.9,21.9,8.8,8.9,1,42.1,9.3,3.3,3.2,0.1,6.1,11.1,20.3,8.2,8.5,1,4.8,19.8,13.7,60,14.2,56.5,12,3117,2795,322,benefis hospitals,great falls,red river hospital,wichita falls,-98.501340634,33.9063072480001,1505 8TH STREET,http://www.redriverhospital.com,(940) 322-3171
435,VA- WINCHESTER,510008,Berkeley Medical Center,Martinsburg,WV,West Virginia University Health System,263,90.1,0.8,65951,30772,14954,8400,3207,5494,2134,644,345,12794,5027,2735,846,529,3656,27607,15.8,1744,0.7,0.9,0.8,5188,52.3,99,0.7,0.8,0.9,43.4,29.1,6.4,22.7,14.2,53.7,23.6,9.7,9.4,1,43,9.7,6.9,1.8,5.1,2.8,8,24.7,9.8,9.4,1,7.7,21.5,18.3,60.7,24.2,59.4,13.1,4293,4080,213,berkeley medical center,martinsburg,berkeley medical center,martinsburg,-77.9802371769999,39.476243465,2500 HOSPITAL DRIVE,http://www.cityhospital.org,(304) 264-1000
295,NY- ALBANY,220046,Berkshire Medical Center,Pittsfield,MA,"Berkshire Health Systems, Inc.",632,95.8,0.8,94204,44353,18727,14992,6686,5053,2541,841,1010,12421,5721,1769,1160,548,3223,40857,18.1,2252,1.1,1,1.1,5966,53.9,111,0.8,0.8,1,49.7,3.6,3.4,0.2,46.1,79.1,27.3,9.8,11.9,0.8,39.9,9.9,0.9,0.9,0,9,12.6,23.3,8.4,12.6,0.7,12.1,29.9,9.9,48.3,20.4,65,13.8,3748,3497,250,berkshire medical center,pittsfield,berkshire medical center  berkshire campus,pittsfield,-73.2492,42.46,725 NORTH STREET,http://www.berkshirehealthsystems.org/bmc,(413) 447-2000
227,MA- BOSTON,220086,Beth Israel Deaconess - Boston,Boston,MA,Beth Israel Lahey Health,675,86.9,1.2,118893,64942,22306,14118,7202,6594,2308,729,695,16030,7556,2828,1140,1100,3406,59381,25.1,2370,1.6,1.4,1.1,7571,67.5,112,1.1,1,1,68.6,9.5,9.1,0.4,59.1,53.6,37.7,15.8,14.6,1.1,58.4,15.2,2.8,2.7,0.1,12.4,8.7,32.7,14.7,13.6,1.1,11.2,31.5,25,48.9,22,70.8,17.3,5090,4873,217,beth israel deaconess  boston,boston,beth israel deaconess medical center  west campus,boston,-71.1092,42.3379,ONE DEACONESS RD,http://www.bidmc.harvard.edu,(617) 632-7000
227,MA- BOSTON,220083,Beth Israel Deaconess - Needham,Needham,MA,Beth Israel Lahey Health,183,81.9,0.9,100363,40769,19883,16683,9653,10199,2099,444,634,17253,8289,1963,941,765,5295,36529,17.4,2099,1,1,1,8291,65.5,127,1.2,1,1.2,47.7,6,5.8,0.2,41.7,61.8,34.3,12.9,15,0.9,40.1,10.3,1.7,1.7,0.1,8.6,10.3,28.8,11.3,13.5,0.8,11.4,20.8,15.5,62.1,28.7,66.1,15.4,4726,4587,139,beth israel deaconess  needham,needham,beth israel deaconess hospital  needham,needham,-71.2368999999999,42.2771000000001,148 CHESTNUT STREET,http://www.bidmc.org/centersanddepartments/departments/otherlocations/bethisraeldeaconesshospitalneedham.aspx,(781) 453-3000
227,MA- BOSTON,220060,Beth Israel Deaconess Hosp Plymouth,Plymouth,MA,Beth Israel Lahey Health,489,89.2,1,110198,47031,20695,19331,8293,11081,2602,575,590,15588,7291,2553,1292,748,3704,42388,20,2120,1.1,1.1,1,7298,59.9,122,1,0.9,1.1,54.8,7.6,6.9,0.7,47.2,70.2,31.4,11.4,13.1,0.9,46.4,11.4,1.8,1.7,0.1,9.6,11.2,26.4,9.3,11.8,0.8,12.2,26.7,16.2,57.2,35.7,66.9,15.5,4617,4448,169,beth israel deaconess hosp plymouth,plymouth,beth israel deaconess hospital plymouth,plymouth,-70.6451,41.9428,275 SANDWICH STREET,http://www.bidplymouth.org/,(508) 771-1800
227,MA- BOSTON,220108,Beth Israel Deaconess Hosp. -Milton,Milton,MA,Beth Israel Lahey Health,212,80.4,1.1,107510,47357,16260,19955,10616,9235,2767,559,762,16896,8826,2121,1039,803,4108,42053,20.6,2040,1.1,1.1,1,8834,65.6,135,1.2,1,1.3,56.5,12.2,8.5,3.7,44.3,56.7,35.5,13.4,15.3,0.9,49.7,11.4,2.2,2.1,0.2,9.2,9.7,30.6,11.6,14.2,0.8,16.4,28,16.1,55.5,25.2,70.9,16.5,4354,4188,166,beth israel deaconess hosp. milton,milton,beth israel deaconess hospital milton,milton,-71.0771999999999,42.2513000000001,199 REEDSDALE ROAD,http://www.miltonhospital.org/,(617) 696-4600
118,FL- FORT LAUDERDALE,100002,Bethesda Hospital East,Boynton Beach,FL,Baptist Health South Florida,556,87.5,1.5,111574,45279,25312,17887,9919,8857,1932,910,1478,28745,12172,5535,2064,1983,6990,37712,21.2,1781,1,1.2,0.9,12179,118.4,103,1.7,1.8,1,58,33.6,25.4,8.2,24.4,66.7,54.1,27,18.3,1.5,64.6,11.7,7.8,6,1.7,3.9,9.6,52.7,29.2,17.5,1.7,18.8,13.1,11.1,75.2,24.2,77.4,18.8,7801,7543,258,bethesda hospital east,boynton beach,bethesda hospital east,boynton beach,-80.070563971,26.5050572330001,2815 S SEACREST BLVD,http://www.bethesdaweb.com,(561) 737-7733
327,OH- CINCINNATI,360179,Bethesda North Hospital,Cincinnati,OH,,562,89.8,0.9,87229,34363,18958,17417,6501,6415,1651,1265,658,16099,6588,2634,1030,715,5132,29951,15.6,1919,0.8,0.9,0.9,6656,65.3,102,0.9,1,0.9,42.8,18,4.9,13.2,24.7,65,27.8,13.1,8.7,1.5,39,9.2,4,1.3,2.7,5.1,10.3,32,13.3,8.7,1.5,11.6,17.2,12.5,67.8,23.8,69.3,15.8,5012,4631,381,bethesda north hospital,cincinnati,bethesda north,cincinnati,-84.341784686,39.251979953,10500 MONTGOMERY ROAD,http://www.trihealth.com/hospitals-and-practices/bethesda-north-hospital/,(513) 865-1111
227,MA- BOSTON,220033,Beverly Hospital,Beverly,MA,Beth Israel Lahey Health,595,90.9,0.9,97819,39292,18727,19218,7710,8816,2897,602,556,15082,7845,2096,876,575,3690,35077,18,1949,0.9,1,0.9,7849,59.6,132,1.1,0.9,1.2,49.3,16.4,5.2,11.1,32.9,62.4,29.3,11.6,12,1,43.7,9.9,3.5,1.4,2.1,6.4,10.2,26.4,10,10.5,0.9,11.6,19.7,13.3,63.7,27.3,65.5,15.4,4001,3826,175,beverly hospital,beverly,westerly hospital,westerly,-71.825303241,41.3621890750001,25 WELLS ST,http://www.westerlyhospital.org/,(401) 596-6000
56,CA- LOS ANGELES,50350,Beverly Hospital,Montebello,CA,,121,80.9,1.9,148277,72915,16003,40315,6585,7785,2627,1413,633,23158,11842,4259,1082,977,4997,63547,27.5,2312,1.7,1.5,1.1,11867,116.7,102,1.7,1.8,0.9,75.3,42,12.1,29.8,33.3,129.2,51.8,25.4,19.3,1.3,73,16.1,9.2,3,6.2,6.9,20.3,63.4,36.9,20.9,1.8,10.1,36.4,32.6,38.1,16.5,65.5,14.7,7206,6790,417,beverly hospital,montebello,beverly hospital,montebello,-118.100446881,34.0145595060001,309 WEST BEVERLY BOULEVARD,http://www.beverly.org,NOT AVAILABLE
274,MT- BILLINGS,270004,Billings Clinic,Billings,MT,,413,92.4,0.8,71242,39586,14988,8070,1330,4199,1825,947,296,10334,4476,2129,663,389,2677,35802,16.4,2178,1,0.9,1,4788,44,109,0.7,0.7,1,45,16.5,15.6,0.9,28.6,41.7,19.3,9.3,4.8,2,45.7,9.6,3.6,3.5,0.2,6,6.9,21,9,4.7,1.9,2.7,24.6,15,50.2,21.5,55.3,12.3,3506,3203,304,billings clinic,billings,billings clinic,billings,-108.513452369,45.789496947,2800 10TH AVE N,http://www.billingsclinic.com,(406) 657-4000
115,FL- BRADENTON,100213,Blake Medical Center,Bradenton,FL,HCA Healthcare,496,91.2,1.2,91080,36702,21760,17461,7728,4260,1164,808,1197,24246,8704,4178,1762,1334,8268,31251,20.4,1535,0.8,1.1,0.7,8734,86.7,101,1.2,1.3,0.9,55.8,22.6,7.5,15.1,33.2,74.5,40.2,18.8,15.7,1.2,51.2,12.1,5.2,2,3.2,6.9,13.4,41.7,22.3,16.6,1.3,13,19.8,15.1,63.5,14.4,74.4,16,6614,6383,231,blake medical center,bradenton,blake medical center,bradenton,-82.623741753,27.4822005890001,2020 59TH ST W,http://www.blakemedicalcenter.com,(941) 792-6611
334,OH- TOLEDO,360095,Blanchard Valley Hospital,Findlay,OH,Blanchard Valley Health System,303,92.3,0.6,66968,26121,17893,11953,3420,4971,1177,870,564,12497,5166,2004,677,718,3932,22963,12.6,1820,0.6,0.7,0.9,5172,46.7,111,0.7,0.7,1,34.6,14,8.5,5.5,20.5,74.1,21.7,9.9,7.4,1.3,33.7,7.2,3,1.8,1.2,4.2,12.2,19.7,8.5,7.3,1.2,6.7,10.7,7.8,71.1,20.7,63.8,12.7,3905,3641,264,blanchard valley hospital,findlay,blanchard valley hospital,findlay,-83.651364192,41.0176526660001,1900 SOUTH MAIN STREET,http://www.bvhealthsystem.org/,(419) 423-4500
172,IL- SPRINGFIELD,140015,Blessing Hospital,Quincy,IL,,577,92.1,0.8,77791,37523,21223,10566,2846,2104,1648,1201,678,18567,4467,2352,1253,1040,9454,34445,16.1,2138,0.9,0.9,1,5288,53.6,99,0.7,0.8,0.9,44.1,13.1,3.9,9.2,31,63.2,24,12.8,7.1,1.8,38.3,9.6,3,1,2,6.6,12.3,24.5,13.5,8.5,1.6,5.7,17.2,11.7,51.6,10,55.7,11.6,5848,5475,372,blessing hospital,quincy,blessing hospital,quincy,-91.399457202,39.936358882,BROADWAY AT 11TH STREET,http://www.blessinghospital.org,(217) 223-5811
377,TN- KNOXVILLE,440011,Blount Memorial Hospital,Maryville,TN,,324,93.8,1,68248,30560,13728,9677,4138,6511,1989,1075,570,12322,6290,1783,713,564,2972,26632,18.2,1460,0.7,1,0.7,6316,59.2,107,0.9,0.9,1,50,9.1,5.3,3.8,40.8,60.7,28.4,12,11.6,1,42.4,10.4,2.1,1.3,0.8,8.3,10.4,28.1,13.1,12.1,1.1,10,33.2,17.2,48.9,29,64.5,14.7,3920,3588,332,blount memorial hospital,maryville,blount memorial hospital,maryville,-83.95871505,35.756462239,907 E LAMAR ALEXANDER PARKWAY,http://www.blountmemorial.org,(865) 977-5533
346,PA- ALLENTOWN,390194,Blue Mountain Hosp- Gnaden Huetten,Lehighton,PA,St. Luke's University Health Network,151,80.6,1,88887,38507,17768,20530,4216,4895,1450,594,928,16654,6745,2499,709,800,5901,33946,17.5,1936,0.9,1,0.9,6749,61.1,110,0.9,0.9,1,48,21.2,7.7,13.5,26.8,68.3,27.1,12.7,8.6,1.5,45.2,10,4.6,2,2.6,5.4,14.9,29.3,13.1,7.3,1.8,7.4,23.2,18.9,50.7,18.3,68.8,16.3,4812,4627,184,blue mountain hosp gnaden huetten,lehighton,blue mountain hospital gnaden huetten,lehighton,-75.725897001,40.833084001,211 NORTH 12TH STREET,http://www.blmtn.org/,(610) 377-1300
432,VA- ROANOKE,510071,Bluefield Regional Med Ctr,Bluefield,WV,,99,84.9,0.7,77588,32158,13670,12867,4806,5112,3922,4510,542,13477,5378,1953,983,703,4460,29101,15.1,1928,0.8,0.8,0.9,5625,48.1,117,0.8,0.7,1.1,41.4,30.8,12.4,18.4,10.5,62,23.7,10.8,8.5,1.3,44.9,8,6.3,3.2,3.1,1.7,10.8,20.4,9.5,8.2,1.2,10.6,22.1,18.8,47.3,25.9,52.7,11,5290,3900,1390,bluefield regional med ctr,bluefield,bluefield regional medical center,bluefield,-81.2355074719999,37.2557323190001,500 CHERRY ST,http://www.bluefield.org,(304) 327-1100
118,FL- FORT LAUDERDALE,100168,Boca Raton Regional Hospital,Boca Raton,FL,,984,90.5,1.5,110680,40922,31408,15405,9604,8940,1553,966,1883,26218,11719,5181,1819,2198,5302,33784,21.6,1566,0.9,1.2,0.8,11727,122,96,1.6,1.8,0.9,59.1,12.3,6.8,5.5,46.8,68.2,54.1,29.2,15.1,1.9,50.8,12.6,3,1.8,1.2,9.6,10.9,58.5,36.3,16.6,2.2,17,14.6,8.8,71.4,21.8,82.6,20.3,7066,6801,264,boca raton regional hospital,boca raton,boca raton regional hospital,boca raton,-80.102834805,26.35873272,800 MEADOWS RD,http://www.brrh.com,(561) 955-7100
379,TN- MEMPHIS,250093,Bolivar Medical Center,Cleveland,MS,LifePoint Health,107,77.8,1,87232,36338,13134,22708,7137,2546,3296,1674,399,13097,5287,2362,923,680,3845,32254,17.9,1806,0.9,1,0.9,5441,63.3,86,0.8,1,0.8,48.9,16.3,11.9,4.4,32.6,100.8,28.4,9.7,12.2,0.8,46.7,10.1,3.5,3,0.5,6.6,17.1,30,12.5,13.1,1,13.5,16.3,11.8,56,17.4,46.2,9.9,4774,4205,570,bolivar medical center,cleveland,bolivar medical center,cleveland,-90.708414472,33.7489106210001,901 E. SUNFLOWER ROAD,http://www.bolivarmedical.com,(662) 846-0061
285,NJ- MORRISTOWN,330135,Bon Secours Community Hospital,Port Jervis,NY,WMCHealth,104,81.4,0.8,80283,37623,17735,13070,3978,4965,1418,754,739,14031,6207,1907,1004,742,4171,33929,16.1,2111,0.9,0.9,1,6232,55.1,113,0.9,0.8,1,44,21.2,6.8,14.3,22.9,59.5,26.1,11,10.6,1,41.8,9.7,4.7,1.6,3.1,4.9,9.6,26.3,12.7,10.2,1.2,6.7,25,17.2,47.2,16.1,47.7,12.1,4039,3802,237,bon secours community hospital,port jervis,bon secours community hospital,port jervis,-74.681597186,41.3676357000001,160 E MAIN ST,http://www.bonsecourscommunityhosp.org,(845) 856-5351
431,VA- RICHMOND,490069,Bon Secours Memorial Reg Med Ctr,Mechanicsville,VA,Bon Secours Mercy Health,627,90.4,1,75507,32439,17317,12139,4334,6179,1338,802,958,16865,6755,3365,865,878,5002,28034,17.5,1600,0.7,1,0.8,6798,63.7,107,1,1,1,48,35.8,5.2,30.6,12.2,47.6,29.1,13.2,10.6,1.2,47.6,10.8,8.2,1.5,6.8,2.6,7.7,30.9,14.5,10.6,1.4,8.9,17.7,15.5,64.9,28,66.2,15.6,4995,4747,248,bon secours memorial reg med ctr,mechanicsville,bon secours memorial regional medical center,mechanicsville,-77.388211,37.6290480000001,8260 ATLEE ROAD,NOT AVAILABLE,(804) 764-6000
